direction,Nf,log_Nf,log_Nf_scaled
RD,59203,4.772343714331612,0.653780731029493
RD,67077,4.826573630669576,1.2896132784707042
RD,49434,4.694025753241335,-0.2644782683038991
RD,60779,4.783753550333351,0.7875582763544831
RD,49569,4.695210157580507,-0.250591416192916
RD,55114,4.7412619318907705,0.2893544098599988
TRD,39457,4.596124061834192,-1.4123517309562723
TRD,39323,4.594646643283831,-1.429674103254592
TRD,45393,4.656988885990069,-0.6987265069855548
TRD,47342,4.675246601092355,-0.4846592487660259
